カテゴリ,項目,回答
支援実績（事例2）,施設名 or 業種・規模,
支援実績（事例2）,相談前の課題・状況（Before）,
支援実績（事例2）,支援内容,
支援実績（事例2）,支援後の成果（After）※数字で表現できると◎,
支援実績（事例2）,掲載可否（実名/匿名/不可）,
支援実績（事例3）,施設名 or 業種・規模,
支援実績（事例3）,相談前の課題・状況（Before）,
支援実績（事例3）,支援内容,
支援実績（事例3）,支援後の成果（After）※数字で表現できると◎,
支援実績（事例3）,掲載可否（実名/匿名/不可）,
選ばれる理由・差別化,他のコンサルタントと何が違うか（自分の言葉で）,自分が旅館を経営しているので、まずはその経営的メリット・デメリットが理解できている。また生活的なメリット・デメリットも理解している。特に後者は事業継続に直結するため非常に重要であると考える。例えば小規模な宿泊施設は当直スタッフなどを雇う余裕も合理性もないため、家族の誰かが旅館に泊まり込む必要があることなど。例えば年中無休であれば、一切宿から離れられないなどという悩みもあるかもしれない。そんな時にどのような仕組みを作るか、なども提案できる。
選ばれる理由・差別化,現場経験があるからこそできること（具体的に）,上記に付随するが、旅館は外部のお客様とのコミュニケーションで満たされるため、地域とのつながりが希薄になりがちである。そこで地域とどのようなつながりの仕組みを作るかによって、閑散期と繁忙期の差が激しい地方宿泊施設は、ある意味で『別の収益構造』をつっておく必要があると考えられる。そのようなものを提案できる自信がある。
選ばれる理由・差別化,クライアントからよく言われる評価・感想,
理想顧客像,こんな施設・オーナーと仕事がしたい（ターゲット像）,誰でもOK
理想顧客像,逆に向いていないケース（あれば）,
理想顧客像,よくある相談のきっかけ・入口,OTAの戦略がそもそもわかっていないパターンが多いと思われる。
サービス：月額顧問,主な対象（旅館/飲食/両方）,両方
サービス：月額顧問,提供内容（訪問頻度・相談方法など）,サービス設計が非常に重要。無料チャットし放題などもしたい。満足度を上げつつ、極力移動時間を減らし、顧問先を増やすこと。
サービス：月額顧問,料金帯（記載する場合）,３ヶ月１５万円が主軸となる。『今なら全サービス半額キャンペーン中』などとすること。ディスカウントの表示で、
サービス：スポットコンサル,提供内容・時間,ブラッシュアップしたい
サービス：スポットコンサル,料金帯（記載する場合）,
サービス：研修・セミナー,テーマ例,
サービス：研修・セミナー,対象（オーナー/スタッフ/両方）,
サービス：研修・セミナー,形式（オンライン/現地/両方）,
サービス：研修・セミナー,料金帯（記載する場合）,
依頼フロー,ステップ1：無料相談で何をするか,課題を聞き出すこと
依頼フロー,ステップ2：相談後から契約までの流れ,無料相談から契約してもらうと『今ならチャット無料し放題』がつくなどとすること
依頼フロー,ステップ3：契約後のスタート方法,入金確認後、初回訪問日を設定する
依頼フロー,初回相談の所要時間・方法（対面/オンライン）,ブラッシュアップ
お客様の声1,お名前・業種（匿名可）,
お客様の声1,コメント,
お客様の声2,お名前・業種（匿名可）,
お客様の声2,コメント,
よくある質問1,Q（よく聞かれること）,
よくある質問1,A（回答）,
よくある質問2,Q,
よくある質問2,A,
よくある質問3,Q,
よくある質問3,A,
よくある質問4,Q,
よくある質問4,A,
よくある質問5,Q,
よくある質問5,A,
素材,顔写真（あり/なし）,あり
素材,旅館・飲食店の写真（あり/なし）,あり
素材,ロゴ（あり/なし）,あり。作る
素材,事例に使える施設写真（あり/なし）,なし
